# Log de treino do SFT v1 (curva de loss + status). NOTA: os avisos do trl que
# ecoavam INSTANCIAS de treino longas (com possivel PII do corpus) foram REMOVIDOS
# desta versao publica; o log bruto fica so na HPC. Ver docs/training/README.md.
# ---------------------------------------------------------------------------
[sft] exemplos de treino | training examples: 85,892
[sft] exemplos de treino | training examples: 85,892
[sft] Full fine-tuning (LR 1e-05, 2.0 épocas) — use accelerate + ZeRO-3 (configs/accelerate_config_zero3.yaml)
[sft] checagem do collator OK: 50 tokens mascarados (prompt), 10 com loss (resposta).
[sft] Full fine-tuning (LR 1e-05, 2.0 épocas) — use accelerate + ZeRO-3 (configs/accelerate_config_zero3.yaml)
[sft] checagem do collator OK: 50 tokens mascarados (prompt), 10 com loss (resposta).
{'loss': 2.6198, 'grad_norm': 0.08655766713173875, 'learning_rate': 1.4925373134328358e-06, 'epoch': 0.03}
{'loss': 2.3792, 'grad_norm': 0.03916378228376551, 'learning_rate': 2.9850746268656716e-06, 'epoch': 0.06}
{'loss': 2.1399, 'grad_norm': 0.0211949037440785, 'learning_rate': 4.477611940298508e-06, 'epoch': 0.09}
{'loss': 2.0168, 'grad_norm': 0.016477584328647186, 'learning_rate': 5.970149253731343e-06, 'epoch': 0.12}
{'loss': 1.9651, 'grad_norm': 0.013971033953628927, 'learning_rate': 7.46268656716418e-06, 'epoch': 0.15}
{'loss': 1.934, 'grad_norm': 0.010434757274708327, 'learning_rate': 8.955223880597016e-06, 'epoch': 0.18}
{'loss': 1.881, 'grad_norm': 0.010074550819413976, 'learning_rate': 9.999389284703265e-06, 'epoch': 0.21}
{'loss': 1.8766, 'grad_norm': 0.011456551106341575, 'learning_rate': 9.988536273658876e-06, 'epoch': 0.24}
{'loss': 1.8642, 'grad_norm': 0.010132082956897694, 'learning_rate': 9.964145714351633e-06, 'epoch': 0.27}
{'loss': 1.8748, 'grad_norm': 0.010414543387328591, 'learning_rate': 9.926283796211796e-06, 'epoch': 0.3}
{'loss': 1.8448, 'grad_norm': 0.010128690681194902, 'learning_rate': 9.87505326632108e-06, 'epoch': 0.33}
{'loss': 1.8278, 'grad_norm': 0.0094122731660061, 'learning_rate': 9.810593150584658e-06, 'epoch': 0.36}
{'loss': 1.8192, 'grad_norm': 0.010700073999062847, 'learning_rate': 9.733078376452172e-06, 'epoch': 0.39}
{'loss': 1.8541, 'grad_norm': 0.009728185640822591, 'learning_rate': 9.642719298211602e-06, 'epoch': 0.42}
{'loss': 1.8254, 'grad_norm': 0.009818672694848778, 'learning_rate': 9.539761126144193e-06, 'epoch': 0.45}
{'loss': 1.837, 'grad_norm': 0.011053302032212518, 'learning_rate': 9.424483261089584e-06, 'epoch': 0.48}
{'loss': 1.7991, 'grad_norm': 0.009256502615061809, 'learning_rate': 9.297198536226927e-06, 'epoch': 0.51}
